 550.0000000    1.7564682	19
 552.5000000    1.7046478	11
 555.0000000    1.5617462	9
 557.5000000    1.3421113	26
 560.0000000    1.5216478	24
 562.5000000    1.5833325	19
 565.0000000    1.4759847	28
 567.5000000    1.3650597	38
 570.0000000    1.2513013	28
 572.5000000    1.2102435	38
 575.0000000    1.4184498	18
 577.5000000    1.5051372	21
 580.0000000    1.7530901	25
 582.5000000    1.5886594	17
 585.0000000    1.5587952	11
 587.5000000    1.4908235	25
 590.0000000    1.5740194	21
 592.5000000    1.2284603	18
 595.0000000    1.2898839	30
 597.5000000    1.1816807	34
 600.0000000    1.1405705	35
 602.5000000    1.2665324	34
 605.0000000    1.5434151	32
 607.5000000    1.7417206	23
 610.0000000    1.8167684	25
 612.5000000    1.5540279	27
 615.0000000    1.9418843	29
 617.5000000    1.8631467	21
 620.0000000    1.5642858	23
 622.5000000    1.4978899	40
 625.0000000    1.5638039	20
 627.5000000    1.5792582	23
 630.0000000    1.8714086	17
 632.5000000    1.8662494	19
 635.0000000    1.7541534	20
 637.5000000    1.6943300	19
 640.0000000    1.6438049	16
 642.5000000    1.4707104	29
 645.0000000    1.6713866	19
 647.5000000    1.5698218	29
 650.0000000    1.5918586	17
 652.5000000    1.3203921	16
 655.0000000    1.4181269	22
 657.5000000    1.3229541	13
 660.0000000    1.5669748	16
 662.5000000    1.5402044	17
 665.0000000    1.2768986	26
 667.5000000    1.0935789	33
 670.0000000    1.2773347	22
 672.5000000    1.5570699	12
 675.0000000    1.5751938	20
 677.5000000    1.6046163	26
 680.0000000    1.8071289	19
 682.5000000    1.5989376	12
 685.0000000    1.7247248	26
 687.5000000    1.7231997	25
 690.0000000    1.8516362	24
 692.5000000    1.6027154	19
 695.0000000    1.5074008	22
 697.5000000    1.3172252	48
 700.0000000    1.5135394	30
 702.5000000    1.8356377	26
 705.0000000    1.8712344	29
 707.5000000    2.2633977	14
 710.0000000    2.1580129	21
 712.5000000    2.0599220	18
 715.0000000    1.9857533	19
 717.5000000    1.9273630	20
 720.0000000    1.8617302	17
 722.5000000    1.8460382	20
 725.0000000    1.8824098	21
 727.5000000    1.8064113	33
 730.0000000    1.7855097	16
 732.5000000    1.6086771	32
 735.0000000    1.4579223	19
 737.5000000    1.3699075	22
 740.0000000    1.5038148	16
 742.5000000    1.5259082	10
 745.0000000    1.2253940	21
 747.5000000    1.2233119	35
 750.0000000    1.6723350	16
 752.5000000    1.8267823	32
 755.0000000    1.8890419	15
 757.5000000    1.6562918	17
 760.0000000    1.7086747	30
 762.5000000    2.1271939	28
 765.0000000    2.1567280	12
 767.5000000    1.7911842	31
 770.0000000    1.5034891	34
 772.5000000    1.6301174	28
 775.0000000    1.2540116	34
 777.5000000    1.2866431	32
 780.0000000    1.5022048	22
 782.5000000    1.4891679	20
 785.0000000    1.5231041	31
 787.5000000    1.5906521	31
 790.0000000    1.3440434	39
 792.5000000    1.0179691	51
 795.0000000    1.0094651	78
 797.5000000    0.8420107	74
 800.0000000    0.8724141	70
 802.5000000    0.7884691	92
 805.0000000    0.7055659	90
 807.5000000    0.9134785	81
 810.0000000    0.9111165	87
 812.5000000    0.8829649	78
 815.0000000    0.8531097	78
 817.5000000    0.9665436	87
 820.0000000    0.8890001	82
 822.5000000    0.9160892	73
 825.0000000    0.9822127	64
 827.5000000    1.5182432	65
 830.0000000    1.4753760	64
 832.5000000    1.5152739	43
 835.0000000    1.5368000	32
 837.5000000    1.1369357	35
